none[0.0593]  arg1_node[0.9287]  arg2_node[0.0120]  arg1_node
none[0.9970]  arg1_node[0.0015]  arg2_node[0.0015]  none
none[0.9970]  arg1_node[0.0015]  arg2_node[0.0015]  none
none[0.9970]  arg1_node[0.0015]  arg2_node[0.0015]  none
none[0.9970]  arg1_node[0.0015]  arg2_node[0.0015]  none
none[0.9970]  arg1_node[0.0015]  arg2_node[0.0015]  none
none[0.9970]  arg1_node[0.0015]  arg2_node[0.0015]  none
none[0.3359]  arg1_node[0.0002]  arg2_node[0.6638]  arg2_node
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.9805]  arg1_node[0.0000]  arg2_node[0.0195]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.8827]  arg1_node[0.0697]  arg2_node[0.0476]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9913]  arg1_node[0.0061]  arg2_node[0.0026]  none
none[0.2969]  arg1_node[0.6983]  arg2_node[0.0048]  arg1_node
none[0.5642]  arg1_node[0.3981]  arg2_node[0.0377]  none
none[0.7331]  arg1_node[0.1387]  arg2_node[0.1282]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0028]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0027]  none
none[0.9871]  arg1_node[0.0075]  arg2_node[0.0053]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0028]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0028]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0028]  none
none[0.5680]  arg1_node[0.0047]  arg2_node[0.4273]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0117]  none
none[0.9769]  arg1_node[0.0003]  arg2_node[0.0228]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0118]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0117]  none
none[0.0512]  arg1_node[0.9407]  arg2_node[0.0081]  arg1_node
none[0.7252]  arg1_node[0.0123]  arg2_node[0.2625]  none
none[0.9983]  arg1_node[0.0010]  arg2_node[0.0007]  none
none[0.9959]  arg1_node[0.0005]  arg2_node[0.0036]  none
none[0.9983]  arg1_node[0.0010]  arg2_node[0.0007]  none
none[0.9983]  arg1_node[0.0010]  arg2_node[0.0007]  none
none[0.9971]  arg1_node[0.0018]  arg2_node[0.0012]  none
none[0.9983]  arg1_node[0.0010]  arg2_node[0.0007]  none
none[0.9983]  arg1_node[0.0010]  arg2_node[0.0007]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9949]  arg1_node[0.0001]  arg2_node[0.0050]  none
none[0.9911]  arg1_node[0.0083]  arg2_node[0.0006]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9983]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9851]  arg1_node[0.0143]  arg2_node[0.0006]  none
none[0.2515]  arg1_node[0.7469]  arg2_node[0.0016]  arg1_node
none[0.2644]  arg1_node[0.7347]  arg2_node[0.0009]  arg1_node
none[0.9988]  arg1_node[0.0002]  arg2_node[0.0010]  none
none[0.0624]  arg1_node[0.0003]  arg2_node[0.9373]  arg2_node
none[0.9972]  arg1_node[0.0001]  arg2_node[0.0027]  none
none[0.9633]  arg1_node[0.0001]  arg2_node[0.0366]  none
none[0.9986]  arg1_node[0.0001]  arg2_node[0.0013]  none
none[0.9972]  arg1_node[0.0001]  arg2_node[0.0027]  none
