none[0.7146]  arg1_node[0.2845]  arg2_node[0.0009]  none
none[0.9984]  arg1_node[0.0009]  arg2_node[0.0007]  none
none[0.9984]  arg1_node[0.0009]  arg2_node[0.0007]  none
none[0.9984]  arg1_node[0.0009]  arg2_node[0.0007]  none
none[0.9984]  arg1_node[0.0009]  arg2_node[0.0007]  none
none[0.9979]  arg1_node[0.0012]  arg2_node[0.0009]  none
none[0.9979]  arg1_node[0.0012]  arg2_node[0.0009]  none
none[0.9979]  arg1_node[0.0012]  arg2_node[0.0009]  none
none[0.9736]  arg1_node[0.0258]  arg2_node[0.0007]  none
none[0.9537]  arg1_node[0.0457]  arg2_node[0.0007]  none
none[0.4878]  arg1_node[0.5085]  arg2_node[0.0037]  arg1_node
none[0.9155]  arg1_node[0.0830]  arg2_node[0.0015]  none
none[0.9729]  arg1_node[0.0242]  arg2_node[0.0029]  none
none[0.9987]  arg1_node[0.0001]  arg2_node[0.0011]  none
none[0.0559]  arg1_node[0.0002]  arg2_node[0.9439]  arg2_node
none[0.9969]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9590]  arg1_node[0.0000]  arg2_node[0.0410]  none
none[0.9969]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9969]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9969]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.3846]  arg1_node[0.6124]  arg2_node[0.0030]  arg1_node
none[0.9980]  arg1_node[0.0013]  arg2_node[0.0007]  none
none[0.9980]  arg1_node[0.0013]  arg2_node[0.0007]  none
none[0.8770]  arg1_node[0.1215]  arg2_node[0.0015]  none
none[0.9606]  arg1_node[0.0365]  arg2_node[0.0029]  none
none[0.9941]  arg1_node[0.0051]  arg2_node[0.0007]  none
none[0.9980]  arg1_node[0.0013]  arg2_node[0.0007]  none
none[0.9980]  arg1_node[0.0013]  arg2_node[0.0007]  none
none[0.9987]  arg1_node[0.0002]  arg2_node[0.0012]  none
none[0.0552]  arg1_node[0.0003]  arg2_node[0.9445]  arg2_node
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9584]  arg1_node[0.0001]  arg2_node[0.0415]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9970]  arg1_node[0.0001]  arg2_node[0.0030]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9633]  arg1_node[0.0356]  arg2_node[0.0011]  none
none[0.9633]  arg1_node[0.0356]  arg2_node[0.0011]  none
none[0.9979]  arg1_node[0.0009]  arg2_node[0.0013]  none
none[0.9979]  arg1_node[0.0009]  arg2_node[0.0013]  none
none[0.9979]  arg1_node[0.0009]  arg2_node[0.0013]  none
none[0.9979]  arg1_node[0.0009]  arg2_node[0.0013]  none
