Expansion[0.0596]  Contingency[0.0080]  Comparison[0.9244]  Temporal[0.0080]  Comparison
Expansion[0.8346]  Contingency[0.0041]  Comparison[0.1508]  Temporal[0.0105]  Expansion
Expansion[0.0003]  Contingency[0.9583]  Comparison[0.0021]  Temporal[0.0393]  Contingency
Expansion[0.0195]  Contingency[0.9687]  Comparison[0.0064]  Temporal[0.0054]  Contingency
Expansion[0.9844]  Contingency[0.0024]  Comparison[0.0072]  Temporal[0.0060]  Expansion
Expansion[0.0038]  Contingency[0.9555]  Comparison[0.0153]  Temporal[0.0254]  Contingency
Expansion[0.9709]  Contingency[0.0216]  Comparison[0.0039]  Temporal[0.0036]  Expansion
Expansion[0.9369]  Contingency[0.0463]  Comparison[0.0092]  Temporal[0.0076]  Expansion
Expansion[0.0035]  Contingency[0.2417]  Comparison[0.0104]  Temporal[0.7444]  Temporal
Expansion[0.0103]  Contingency[0.0312]  Comparison[0.0305]  Temporal[0.9279]  Temporal
Expansion[0.9709]  Contingency[0.0216]  Comparison[0.0039]  Temporal[0.0036]  Expansion
Expansion[0.0025]  Contingency[0.9798]  Comparison[0.0073]  Temporal[0.0104]  Contingency
Expansion[0.0001]  Contingency[0.9469]  Comparison[0.0413]  Temporal[0.0117]  Contingency
Expansion[0.9670]  Contingency[0.0081]  Comparison[0.0248]  Temporal[0.0002]  Expansion
