PS[0.9906]  SS[0.0094]  PS
PS[0.9997]  SS[0.0003]  PS
PS[0.9570]  SS[0.0430]  PS
PS[0.9997]  SS[0.0003]  PS
PS[0.0070]  SS[0.9930]  SS
PS[0.0001]  SS[0.9999]  SS
PS[0.9990]  SS[0.0010]  PS
PS[0.0001]  SS[0.9999]  SS
PS[0.9990]  SS[0.0010]  PS
PS[0.9706]  SS[0.0294]  PS
PS[0.0005]  SS[0.9995]  SS
PS[0.9990]  SS[0.0010]  PS
PS[0.0001]  SS[0.9999]  SS
PS[0.9997]  SS[0.0003]  PS
PS[0.9867]  SS[0.0133]  PS
PS[0.0045]  SS[0.9955]  SS
PS[0.0018]  SS[0.9982]  SS
PS[0.9990]  SS[0.0010]  PS
PS[0.0001]  SS[0.9999]  SS
PS[0.0395]  SS[0.9605]  SS
PS[0.9706]  SS[0.0294]  PS
PS[0.9706]  SS[0.0294]  PS
PS[0.9951]  SS[0.0049]  PS
PS[0.9997]  SS[0.0003]  PS
PS[0.0001]  SS[0.9999]  SS
PS[0.7011]  SS[0.2989]  PS
PS[0.0108]  SS[0.9892]  SS
PS[0.0001]  SS[0.9999]  SS
PS[0.9997]  SS[0.0003]  PS
PS[0.0045]  SS[0.9955]  SS
PS[0.8810]  SS[0.1190]  PS
PS[0.0045]  SS[0.9955]  SS
PS[0.0119]  SS[0.9881]  SS
