Expansion[0.0010]  Contingency[0.6929]  Comparison[0.0247]  Temporal[0.2814]  Contingency
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0001]  Contingency[0.9888]  Comparison[0.0006]  Temporal[0.0106]  Contingency
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.0025]  Contingency[0.0157]  Comparison[0.9713]  Temporal[0.0105]  Comparison
Expansion[0.0060]  Contingency[0.9507]  Comparison[0.0178]  Temporal[0.0254]  Contingency
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0258]  Contingency[0.0012]  Comparison[0.9718]  Temporal[0.0012]  Comparison
Expansion[0.0060]  Contingency[0.9507]  Comparison[0.0178]  Temporal[0.0254]  Contingency
Expansion[0.0003]  Contingency[0.1450]  Comparison[0.0010]  Temporal[0.8537]  Temporal
Expansion[0.9723]  Contingency[0.0167]  Comparison[0.0018]  Temporal[0.0092]  Expansion
Expansion[0.0013]  Contingency[0.0134]  Comparison[0.0008]  Temporal[0.9845]  Temporal
Expansion[0.0321]  Contingency[0.0006]  Comparison[0.9655]  Temporal[0.0017]  Comparison
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.9723]  Contingency[0.0167]  Comparison[0.0018]  Temporal[0.0092]  Expansion
Expansion[0.0011]  Contingency[0.0071]  Comparison[0.9870]  Temporal[0.0048]  Comparison
Expansion[0.0103]  Contingency[0.0312]  Comparison[0.0305]  Temporal[0.9279]  Temporal
Expansion[0.0258]  Contingency[0.0012]  Comparison[0.9718]  Temporal[0.0012]  Comparison
Expansion[0.9723]  Contingency[0.0167]  Comparison[0.0018]  Temporal[0.0092]  Expansion
Expansion[0.0025]  Contingency[0.9798]  Comparison[0.0073]  Temporal[0.0104]  Contingency
Expansion[0.0103]  Contingency[0.0312]  Comparison[0.0305]  Temporal[0.9279]  Temporal
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.9723]  Contingency[0.0167]  Comparison[0.0018]  Temporal[0.0092]  Expansion
Expansion[0.0003]  Contingency[0.9583]  Comparison[0.0021]  Temporal[0.0393]  Contingency
Expansion[0.0100]  Contingency[0.3668]  Comparison[0.0294]  Temporal[0.5938]  Temporal
Expansion[0.0003]  Contingency[0.1450]  Comparison[0.0010]  Temporal[0.8537]  Temporal
Expansion[0.0001]  Contingency[0.9469]  Comparison[0.0413]  Temporal[0.0117]  Contingency
Expansion[0.0060]  Contingency[0.9507]  Comparison[0.0178]  Temporal[0.0254]  Contingency
Expansion[0.0003]  Contingency[0.9583]  Comparison[0.0021]  Temporal[0.0393]  Contingency
Expansion[0.0013]  Contingency[0.9893]  Comparison[0.0039]  Temporal[0.0055]  Contingency
Expansion[0.0003]  Contingency[0.1450]  Comparison[0.0010]  Temporal[0.8537]  Temporal
Expansion[0.0060]  Contingency[0.9507]  Comparison[0.0178]  Temporal[0.0254]  Contingency
Expansion[0.0013]  Contingency[0.9893]  Comparison[0.0039]  Temporal[0.0055]  Contingency
Expansion[0.0258]  Contingency[0.0012]  Comparison[0.9718]  Temporal[0.0012]  Comparison
Expansion[0.0010]  Contingency[0.9877]  Comparison[0.0042]  Temporal[0.0070]  Contingency
Expansion[0.9244]  Contingency[0.0111]  Comparison[0.0605]  Temporal[0.0040]  Expansion
Expansion[0.0025]  Contingency[0.0157]  Comparison[0.9713]  Temporal[0.0105]  Comparison
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0013]  Contingency[0.9893]  Comparison[0.0039]  Temporal[0.0055]  Contingency
Expansion[0.0321]  Contingency[0.0006]  Comparison[0.9655]  Temporal[0.0017]  Comparison
Expansion[0.9906]  Contingency[0.0021]  Comparison[0.0019]  Temporal[0.0054]  Expansion
Expansion[0.9906]  Contingency[0.0021]  Comparison[0.0019]  Temporal[0.0054]  Expansion
