0[0.9783]  1[0.0217]  0
0[0.0073]  1[0.9927]  1
0[0.9994]  1[0.0006]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.0491]  1[0.9509]  1
0[0.9993]  1[0.0007]  0
0[0.9999]  1[0.0001]  0
0[0.0776]  1[0.9224]  1
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9857]  1[0.0143]  0
0[0.0146]  1[0.9854]  1
0[0.9999]  1[0.0001]  0
0[0.9894]  1[0.0106]  0
0[1.0000]  1[0.0000]  0
0[0.0004]  1[0.9996]  1
0[1.0000]  1[0.0000]  0
0[0.9725]  1[0.0275]  0
0[0.9810]  1[0.0190]  0
0[0.9796]  1[0.0204]  0
0[0.9997]  1[0.0003]  0
0[0.9950]  1[0.0050]  0
0[0.9983]  1[0.0017]  0
0[0.1786]  1[0.8214]  1
0[1.0000]  1[0.0000]  0
0[0.9998]  1[0.0002]  0
0[0.8223]  1[0.1777]  0
0[0.0685]  1[0.9315]  1
0[0.9983]  1[0.0017]  0
0[0.0097]  1[0.9903]  1
0[0.9995]  1[0.0005]  0
0[0.0355]  1[0.9645]  1
0[0.9983]  1[0.0017]  0
0[0.9889]  1[0.0111]  0
0[0.0034]  1[0.9966]  1
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.0025]  1[0.9975]  1
0[0.9999]  1[0.0001]  0
0[0.9958]  1[0.0042]  0
0[0.0766]  1[0.9234]  1
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9984]  1[0.0016]  0
0[0.9929]  1[0.0071]  0
0[1.0000]  1[0.0000]  0
0[0.9991]  1[0.0009]  0
0[0.0052]  1[0.9948]  1
0[0.9996]  1[0.0004]  0
0[1.0000]  1[0.0000]  0
0[0.0003]  1[0.9997]  1
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9983]  1[0.0017]  0
0[1.0000]  1[0.0000]  0
0[0.0025]  1[0.9975]  1
0[0.7686]  1[0.2314]  0
0[0.0101]  1[0.9899]  1
0[0.0329]  1[0.9671]  1
0[1.0000]  1[0.0000]  0
0[0.0096]  1[0.9904]  1
0[1.0000]  1[0.0000]  0
0[0.0327]  1[0.9673]  1
0[0.9995]  1[0.0005]  0
0[0.0422]  1[0.9578]  1
0[0.0000]  1[1.0000]  1
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9996]  1[0.0004]  0
0[0.0003]  1[0.9997]  1
0[0.0129]  1[0.9871]  1
0[0.0826]  1[0.9174]  1
0[0.0009]  1[0.9991]  1
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.0001]  1[0.9999]  1
0[1.0000]  1[0.0000]  0
0[0.0489]  1[0.9511]  1
0[0.9990]  1[0.0010]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.0192]  1[0.9808]  1
0[0.7989]  1[0.2011]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9997]  1[0.0003]  0
0[0.9975]  1[0.0025]  0
0[0.9988]  1[0.0012]  0
0[0.0001]  1[0.9999]  1
0[1.0000]  1[0.0000]  0
0[0.9996]  1[0.0004]  0
0[0.9672]  1[0.0328]  0
0[0.9757]  1[0.0243]  0
0[0.0060]  1[0.9940]  1
0[0.0445]  1[0.9555]  1
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9996]  1[0.0004]  0
0[0.9999]  1[0.0001]  0
0[0.9988]  1[0.0012]  0
0[0.9935]  1[0.0065]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9829]  1[0.0171]  0
0[0.0009]  1[0.9991]  1
0[0.9839]  1[0.0161]  0
0[0.0003]  1[0.9997]  1
0[1.0000]  1[0.0000]  0
0[0.9994]  1[0.0006]  0
0[0.7728]  1[0.2272]  0
0[0.9993]  1[0.0007]  0
0[0.0539]  1[0.9461]  1
0[0.9997]  1[0.0003]  0
0[0.0003]  1[0.9997]  1
0[0.9999]  1[0.0001]  0
0[0.4166]  1[0.5834]  1
0[0.0921]  1[0.9079]  1
0[0.9370]  1[0.0630]  0
0[0.9999]  1[0.0001]  0
0[0.0008]  1[0.9992]  1
0[0.9945]  1[0.0055]  0
0[0.0050]  1[0.9950]  1
0[0.1757]  1[0.8243]  1
0[1.0000]  1[0.0000]  0
0[0.9996]  1[0.0004]  0
0[0.9999]  1[0.0001]  0
0[0.0130]  1[0.9870]  1
0[0.0425]  1[0.9575]  1
0[0.0047]  1[0.9953]  1
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9929]  1[0.0071]  0
0[0.9999]  1[0.0001]  0
0[0.9994]  1[0.0006]  0
0[0.2446]  1[0.7554]  1
0[0.9975]  1[0.0025]  0
0[0.9998]  1[0.0002]  0
0[0.9946]  1[0.0054]  0
0[0.9995]  1[0.0005]  0
0[0.9903]  1[0.0097]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9996]  1[0.0004]  0
0[0.1341]  1[0.8659]  1
0[0.9999]  1[0.0001]  0
0[0.0513]  1[0.9487]  1
0[0.9998]  1[0.0002]  0
0[0.9994]  1[0.0006]  0
