PS[0.0096]  SS[0.9904]  SS
PS[0.9997]  SS[0.0003]  PS
PS[0.9706]  SS[0.0294]  PS
PS[0.0085]  SS[0.9915]  SS
PS[0.9990]  SS[0.0010]  PS
PS[0.0001]  SS[0.9999]  SS
PS[0.9720]  SS[0.0280]  PS
PS[0.4073]  SS[0.5927]  SS
PS[0.9720]  SS[0.0280]  PS
PS[0.0126]  SS[0.9874]  SS
PS[0.9997]  SS[0.0003]  PS
PS[0.9709]  SS[0.0291]  PS
PS[0.0001]  SS[0.9999]  SS
PS[0.0001]  SS[0.9999]  SS
PS[0.0001]  SS[0.9999]  SS
PS[0.0001]  SS[0.9999]  SS
PS[0.9990]  SS[0.0010]  PS
PS[0.0001]  SS[0.9999]  SS
PS[0.9997]  SS[0.0003]  PS
