Expansion[0.9849]  Contingency[0.0023]  Comparison[0.0070]  Temporal[0.0058]  Expansion
Expansion[0.1760]  Contingency[0.0167]  Comparison[0.6248]  Temporal[0.1826]  Comparison
Expansion[0.0321]  Contingency[0.0006]  Comparison[0.9655]  Temporal[0.0017]  Comparison
Expansion[0.0099]  Contingency[0.2015]  Comparison[0.0033]  Temporal[0.7853]  Temporal
Expansion[0.0312]  Contingency[0.0006]  Comparison[0.9676]  Temporal[0.0006]  Comparison
Expansion[0.0219]  Contingency[0.0024]  Comparison[0.9754]  Temporal[0.0004]  Comparison
Expansion[0.1760]  Contingency[0.0167]  Comparison[0.6248]  Temporal[0.1826]  Comparison
Expansion[0.1760]  Contingency[0.0167]  Comparison[0.6248]  Temporal[0.1826]  Comparison
Expansion[0.0642]  Contingency[0.9353]  Comparison[0.0003]  Temporal[0.0002]  Contingency
Expansion[0.0041]  Contingency[0.0227]  Comparison[0.8552]  Temporal[0.1181]  Comparison
Expansion[0.0060]  Contingency[0.9507]  Comparison[0.0178]  Temporal[0.0254]  Contingency
Expansion[0.0100]  Contingency[0.0011]  Comparison[0.9861]  Temporal[0.0028]  Comparison
Expansion[0.0258]  Contingency[0.0012]  Comparison[0.9718]  Temporal[0.0012]  Comparison
Expansion[0.0258]  Contingency[0.0012]  Comparison[0.9718]  Temporal[0.0012]  Comparison
